team,alias,opta_rating
Celtic,,82.4
Rangers,,82.2
Heart of Midlothian,Heart Of Midlothian,78.9
Motherwell,,75.6
Hibernian,,75.7
Dundee United,Dundee Utd,73.4
Kilmarnock,,71.7
St. Mirren,ST Mirren,72.2
Falkirk,,73.2
Aberdeen,,72.9
St. Johnstone,ST Johnstone,72.1
Dundee,,72.5
