team,alias,opta_rating
Barcelona,,97.0
Real Madrid,,94.3
Atlético de Madrid,Atletico Madrid,91.3
Villarreal,,88.3
Real Betis,,88.9
Valencia,,84.9
Rayo Vallecano,,86.4
Celta de Vigo,Celta Vigo,85.6
Real Sociedad,,85.7
Athletic Club,Athletic Bilbao,86.3
Alavés,Alaves,85.5
Osasuna,,84.1
Getafe,,83.5
Levante,,84.5
Málaga,Malaga,82.6
Espanyol,RCD Espanyol,83.6
Racing de Santander,Racing Santander,83.4
Sevilla,,85.0
Elche,,83.8
Deportivo de A Coruña,Deportivo La Coruna,84.1
