team,alias,opta_rating
Slavia Praha,Slavia Prague,85.0
Sparta Praha,Sparta Prague,82.1
Viktoria Plzeň,Viktoria Plzen,81.2
Jablonec,FK Jablonec,78.7
Slovan Liberec,FC Slovan Liberec,76.9
Hradec Králové,Hradec Kralove,75.9
Sigma Olomouc,SK Sigma Olomouc,75.6
Baník Ostrava,Banik Ostrava,74.1
Karviná,MFK Karvina,73.9
Zlín,FC Zlin,73.6
Teplice,FK Teplice,73.2
Mladá Boleslav,FK Mlada Boleslav,72.7
Bohemians 1905,,72.4
Slovácko,FC Slovacko,72.1
Pardubice,FK Pardubice,71.4
Dukla Praha,Dukla Prague,70.0
