team,alias,opta_rating
Virtus,SS Virtus,55.7
La Fiorita,SP La Fiorita,52.3
Tre Fiori,SS Tre Fiori,51.7
Tre Penne,SS Tre Penne,51.4
Folgore,Folgore Falciano,47.0
Cosmos,AC Cosmos,44.6
Domagnano,SS Domagnano,43.3
Fiorentino,AC Fiorentino,41.2
San Giovanni,SS San Giovanni,39.3
Juvenes / Dogana,Juvenes/Dogana,40.1
Libertas,SS Libertas,38.2
Faetano,SS Faetano,34.8
Pennarossa,AC Pennarossa,34.7
Murata,SS Murata,33.2
San Marino Academy,,32.7
Cailungo,AC Cailungo,32.1
