team,alias,opta_rating
Dinamo Zagreb,GNK Dinamo Zagreb,85.7
Rijeka,HNK Rijeka,81.6
Hajduk Split,HNK Hajduk Split,82.7
Varaždin,NK Varazdin,80.2
Lokomotiva Zagreb,NK Lokomotiva Zagreb,76.5
Osijek,NK Osijek,78.9
Rudeš,Rudes,74.1
Istra 1961,NK Istra 1961,76.4
HNK Gorica,NK Gorica,75.4
Slaven Koprivnica,NK Slaven Belupo,74.8
