team,alias,opta_rating
Sheriff,Sheriff Tiraspol,72.9
Petrocub,Petrocub Hîncești,71.7
Zimbru,Zimbru Chișinău,71.4
Milsami,Milsami Orhei,65.8
CSF Bălți,Bălți,58.9
Politehnica UTM,Politehnica Chisinau,60.1
Dacia-Buiucani,Dacia Buiucani,60.3
Real Sireți,Sireți,57.9
