team,alias,opta_rating
Kauno Žalgiris,FK Kauno Zalgiris,74.4
Žalgiris,FK Zalgiris Vilnius,70.4
Sūduva,Suduva Marijampole,71.5
Banga,Banga Gargždai,67.9
Transinvest Vilnius,TransINVEST Vilnius,68.9
Džiugas Telšiai,FK Dziugas,66.3
Hegelmann,Hegelmann Litauen,65.7
Panevėžys,FK Panevezys,68.1
FA Šiauliai,Šiauliai,62.4
Riteriai,FK Trakai,58.5
