team,alias,opta_rating
Slovan Bratislava,SK Slovan Bratislava,80.3
DAC 1904,Dunajska Streda,80.4
Spartak Trnava,FC Spartak Trnava,77.8
Žilina,MSK Zilina,77.6
Podbrezová,Železiarne Podbrezová,75.0
FC Košice,FK Košice,75.1
Zemplín Michalovce,MFK Zemplin,72.5
Skalica,MFK Skalica,70.8
Trenčín,AS Trencin,70.3
Ružomberok,MFK Ruzomberok,70.3
Dukla Banská Bystrica,,70.2
Komárno,MFK Komarno,70.8
