team,alias,opta_rating
KÍ,KI Klaksvik,73.0
NSÍ,NSI Runavik,70.2
HB,HB Torshavn,69.9
Víkingur,Vikingur Gota,67.1
B36,B36 Torshavn,64.2
AB,AB Argir,57.2
B68,B68 Toftir,56.6
EB / Streymur,EB/Streymur,58.1
Skála,Skala IF,57.8
07 Vestur,,56.5
