team,alias,opta_rating
Sporting CP,Sporting Lisbon,91.8
Benfica,SL Benfica,92.0
Porto,FC Porto,90.8
Sporting Braga,SC Braga,86.8
Famalicão,Famalicao,82.8
Gil Vicente,GIL Vicente,81.8
Vitória Guimarães,Guimaraes,80.9
Santa Clara,CD Santa Clara,81.3
Arouca,FC Arouca,81.3
Estoril,Estoril Praia,78.4
Alverca,,79.0
Moreirense,,78.6
Nacional,Nacional de Madeira,78.8
Académico de Viseu,Academico Viseu,78.2
Marítimo,Maritimo,78.9
Rio Ave,,78.3
Casa Pia,,76.1
Estrela,Estrela Amadora,78.1
