team,alias,opta_rating
Egnatia Rrogozhinë,Egnatia,76.6
Dinamo City,Dinamo Tirana,74.9
AF Elbasani,Elbasani,73.3
Vllaznia Shkodër,Vllaznia Shkoder,70.1
Tirana,FK Tirana,71.5
Vora,FK Vora,70.2
Partizani Tirana,Partizani,70.3
Laçi,Laci,70.9
Skënderbeu Korçë,Skenderbeu Korce,70.2
Teuta Durrës,Teuta Durres,73.1
