team,alias,opta_rating
Shakhtar Donetsk,,83.5
Dynamo Kyiv,Dynamo Kiev,79.2
Polissya,Polessya,78.6
LNZ Cherkasy,,74.3
Karpaty Lviv,Karpaty,75.0
Zorya,Zorya Luhansk,72.2
Kharkiv,FC Kharkiv,74.7
Kryvbas KR,Kryvbas Kryvyi Rih,72.7
Kolos Kovalivka,,71.9
Epitsentr,Epitsentr Dunayivtsi,69.8
Bukovyna,,69.6
Veres Rivne,,69.7
Kudrivka,,66.3
Chornomorets,,67.4
Obolon Kyiv,Obolon'-Brovar,67.6
Livyi Bereh,,68.9
