team,alias,opta_rating
Crvena Zvezda,Red Star Belgrade,82.9
Partizan,Partizan Belgrade,74.8
Vojvodina,FK Vojvodina,72.0
Novi Pazar,FK Novi Pazar,71.0
Železničar Pančevo,Zeleznicar Pancevo,69.8
OFK Beograd,,68.7
Radnički Kragujevac,Radnički 1923,68.6
Čukarički,FK Cukaricki,68.4
TSC,TSC Bačka Topola,68.3
Radnik Surdulica,FK Radnik Surdulica,67.7
Radnički Niš,Radnicki Nis,66.8
IMT Novi Beograd,FK IMT,66.2
Mladost Lučani,FK Mladost Lucani,65.9
Javor,Javor-Matis Ivanjica,65.4
Spartak Subotica,FK Spartak Subotica,64.0
Napredak,Napredak Kruševac,61.9
