team,alias,opta_rating
Hapoel Be'er Sheva,Hapoel Beer Sheva,81.5
Maccabi Tel Aviv,,83.1
Beitar Jerusalem,,78.9
Hapoel Tel Aviv,Hapoel Tel-Aviv,79.4
Maccabi Haifa,,78.1
Maccabi Netanya,,74.5
Hapoel Haifa,,73.9
Hapoel Petah Tikva,Hapoel Petach Tikva,71.5
Ironi Kiryat Shmona,Hapoel Ironi Kiryat Shmona,72.0
Ironi Tiberias,,72.2
Hapoel Ramat Gan,,71.7
Maccabi Petah Tikva,,71.2
Hapoel Jerusalem,Hapoel Katamon,72.4
Bnei Sakhnin,,68.5
