team,alias,opta_rating
Inter Turku,FC Inter Turku,77.5
KuPS,KuPS Kuopio,75.2
HJK,HJK Helsinki,74.1
Ilves,Ilves Tampere,72.7
VPS,VPS Vaasa,69.9
SJK,SJK Seinajoki,69.9
Gnistan,FC Gnistan,71.7
Lahti,FC Lahti,70.5
Oulu,AC Oulu,68.4
TPS,Turku PS,68.4
Jaro,FF Jaro,66.1
Mariehamn,IFK Mariehamn,64.9
