team,alias,opta_rating
Zenit,Zenit Saint Petersburg,83.4
Krasnodar,FC Krasnodar,81.7
CSKA Moskva,CSKA Moscow,80.5
Lokomotiv Moskva,Lokomotiv Moscow,80.0
Spartak Moskva,Spartak Moscow,79.1
Dinamo Moskva,Dynamo Moscow,77.4
Baltika,Baltika Kaliningrad,76.6
Rostov,FC Rostov,73.8
Rubin Kazan,,73.5
Akhmat Grozny,,72.7
Dinamo Makhachkala,Dynamo Makhachkala,72.4
Akron,Akron Tolyatti,72.1
Krylya Sovetov,Krylia Sovetov Samara,71.7
Orenburg,FC Orenburg,70.0
Nizhny Novgorod,FC Nizhny Novgorod,69.3
Sochi,FC Sochi,68.4
