team,alias,opta_rating
Lech Poznań,Lech Poznan,84.9
Legia Warszawa,Legia Warsaw,82.0
Jagiellonia Białystok,Jagiellonia,81.3
Raków Częstochowa,Rakow Czestochowa,79.1
Górnik Zabrze,Gornik Zabrze,83.0
GKS Katowice,,79.4
Cracovia,Cracovia Krakow,78.2
Wisła Kraków,Wisla Krakow,80.3
Pogoń Szczecin,Pogon Szczecin,79.9
Widzew Łódź,Widzew Lodz,78.7
Korona Kielce,,79.2
Zagłębie Lubin,Zaglebie Lubin,79.4
Śląsk Wrocław,Slask Wroclaw,77.8
Piast Gliwice,,79.3
Radomiak Radom,,76.9
Wisła Płock,Wisla Plock,77.5
Motor Lublin,,77.2
Wieczysta Kraków,,76.4
