team,alias,opta_rating
Internazionale,Inter,93.7
Roma,AS Roma,91.6
Como,,90.6
Juventus,,90.5
Napoli,,89.1
Atalanta,,87.4
Milan,AC Milan,88.8
Lazio,,87.6
Bologna,,85.3
Fiorentina,,85.0
Udinese,,84.1
Torino,,83.4
Sassuolo,,84.4
Genoa,,82.3
Cagliari,,84.2
Parma,,81.6
Venezia,,79.7
Lecce,,81.5
Frosinone,,83.1
Monza,,81.6
