team,alias,opta_rating
Club Brugge,Club Brugge KV,91.2
Union Saint-Gilloise,Union St. Gilloise,89.9
Genk,KRC Genk,85.6
Sint-Truiden,St. Truiden,85.3
Anderlecht,RSC Anderlecht,84.4
Sporting Charleroi,Charleroi,84.4
Standard Liège,Standard Liege,82.3
Gent,KAA Gent,83.3
Beveren,SK Beveren,80.6
Zulte Waregem,SV Zulte Waregem,82.6
Westerlo,KVC Westerlo,79.9
Cercle Brugge,,80.5
Antwerp,Royal Antwerp,81.1
Kortrijk,,79.0
Mechelen,KV Mechelen,79.9
Lommel,Lommel United,80.8
OH Leuven,Oud-Heverlee Leuven,77.8
Raal La Louvière,RAAL La Louvière,77.3
