team,alias,opta_rating
Levski Sofia,,82.0
Ludogorets Razgrad,Ludogorets,79.4
CSKA Sofia,,78.2
CSKA 1948 Sofia,CSKA 1948,77.2
Arda Kardzhali,PFC Arda,74.3
Lokomotiv Plovdiv,,71.0
Cherno More Varna,Cherno More,71.2
Botev Plovdiv,,72.8
Botev Vratsa,,70.4
Lokomotiv Sofia 1929,Lokomotiv Sofia,69.8
Spartak Varna,,68.9
Slavia Sofia,,69.9
Dunav Ot Ruse,Dunav Ruse,66.9
Septemvri Sofia,,67.2
