team,alias,opta_rating
Floriana,Floriana FC,72.1
Hamrun Spartans,Ħamrun Spartans,71.1
Valletta,Valletta FC,69.5
Marsaxlokk,,68.9
Sliema Wanderers,,67.2
Birkirkara,Birkirkara FC,65.4
Gzira United,Gżira United,62.2
Balzan,Balzan FC,64.4
Hibernians,Hibernians Malta,63.2
Zabbar St. Patrick,Żabbar St Patrick,62.7
Birzebbuga,,60.8
Mosta,Mosta FC,62.2
