team,alias,opta_rating
Celje,NK Celje,77.8
Koper,NK Koper,76.8
Maribor,NK Maribor,76.5
Bravo,NK Bravo,75.3
Olimpija,Olimpija Ljubljana,74.6
Nafta,,70.0
Brinje Grosuplje,Brinje-Grosuplje,68.9
Radomlje,NK Radomlje,67.9
Mura,NS Mura,67.4
Aluminij,NK Aluminij,70.2
