team,alias,opta_rating
Iberia 1999,Saburtalo,71.4
Torpedo Kutaisi,FC Torpedo Kutaisi,69.2
Dila,Dila Gori,70.2
Dinamo Tbilisi,FC Dinamo Tbilisi,69.9
Rustavi,FC Rustavi,68.4
Dinamo Batumi,FC Dinamo Batumi,69.3
Samgurali,Samgurali Tskhaltubo,65.1
Gagra,FC Gagra,65.2
Spaeri,FC Spaeri,64.0
Meshakhte,Meshakhte Tkibuli,62.5
