team,alias,opta_rating
PSV,PSV Eindhoven,89.0
Feyenoord,,85.9
Ajax,AFC Ajax,85.1
AZ,AZ Alkmaar,85.0
Twente,FC Twente,84.8
Utrecht,FC Utrecht,80.3
NEC,NEC Nijmegen,79.6
Heerenveen,SC Heerenveen,79.8
Groningen,FC Groningen,79.6
Go Ahead Eagles,GO Ahead Eagles,78.9
Telstar,SC Telstar,76.3
Sparta Rotterdam,,76.6
Excelsior,SBV Excelsior,78.1
Fortuna Sittard,,76.7
PEC Zwolle,,75.3
ADO Den Haag,,74.2
Willem II,,73.2
Cambuur,,74.2
