team,alias,opta_rating
Mornar,Mornar Bar,66.9
Sutjeska,Sutjeska Niksic,66.7
Budućnost,Buducnost Podgorica,65.9
Dečić,FK Decic,64.4
Petrovac,FK Petrovac,63.0
Mladost DG,Mladost Donja Gorica,61.6
Arsenal Tivat,FK Arsenal Tivat,61.1
Bokelj,FK Bokelj,62.9
Jezero,Jezero Plav,61.1
Otrant-Olympic,,63.7
