team,alias,opta_rating
Omonia Nicosia,AC Omonia,86.3
Pafos,Pafos FC,81.7
AEK Larnaca,,83.2
Apollon,Apollon Limassol,81.2
Aris Limassol,Aris,78.9
APOEL,Apoel Nicosia,78.2
Anorthosis,Anorthosis Famagusta,75.2
AEL,AEL Limassol,75.4
Nea Salamis,,73.7
Olympiakos Nicosia,Olympiakos,73.7
Krasava Ypsonas,,71.6
Omonia Aradippou,,73.2
Karmiotissa,,72.4
Omonia 29is Maiou,,72.9
