team,alias,opta_rating
Differdange 03,FC Differdange 03,70.8
Mondorf-les-Bains,US Mondorf-les-bains,67.4
F91 Dudelange,,65.7
UNA Strassen,FC UNA Strassen,68.0
Atert Bissen,,67.7
Racing,Racing FC Union Luxembourg,64.6
Progrès Niederkorn,Progres Niederkorn,63.5
Jeunesse d'Esch,AS Jeunesse Esch,61.3
Swift Hesperange,,60.0
UN Käerjéng,UN Kaerjeng 97,59.8
Rumelange,US Rumelange,59.2
Wiltz,,60.5
Victoria Rosport,,58.3
Etzella Ettelbrück,Etzella Ettelbruck,58.3
Résidence Walferdange,,58.3
Hostert,US Hostert,58.2
