team,alias,opta_rating
Noah,FC Noah,79.9
Ararat-Armenia,FC Ararat-Armenia,77.3
Pyunik,Pyunik Yerevan,75.8
Urartu,FC Urartu,71.8
Alashkert,Alashkert FC,71.7
Van,Van FC,65.2
BKMA,BKMA Yerevan,64.9
Sardarapat,,64.9
Syunik,,62.4
Ararat,Ararat Yerevan,63.6
Shirak,Shirak Gyumri,64.3
Gandzasar,Gandzasar Kapan,59.6
