team,alias,opta_rating
Arsenal,,100.0
Manchester City,,98.8
Manchester United,,94.0
Aston Villa,,93.6
Liverpool,,96.0
Bournemouth,,91.9
Brighton & Hove Albion,Brighton,94.7
Newcastle United,Newcastle,92.9
Brentford,,92.9
Nottingham Forest,,91.0
Chelsea,,93.4
Crystal Palace,,90.5
Fulham,,89.9
Leeds United,Leeds,92.0
Everton,,92.7
Tottenham Hotspur,Tottenham,91.2
Coventry City,Coventry,89.0
Ipswich Town,Ipswich,89.7
Sunderland,,90.7
Hull City,,89.8
