team,alias,opta_rating
St.Gallen,FC ST. Gallen,81.1
Lugano,FC Lugano,83.8
Young Boys,BSC Young Boys,82.3
Sion,FC Sion,82.2
Servette,Servette FC,79.5
Thun,FC Thun,77.9
Basel,FC Basel 1893,78.7
Luzern,FC Luzern,79.1
Lausanne-Sport,Lausanne,74.6
Vaduz,FC Vaduz,75.2
Zürich,FC Zurich,75.0
Grasshoppers,Grasshopper Club Zurich,74.4
