team,alias,opta_rating
Universitatea Craiova,,79.5
CFR Cluj,CFR 1907 Cluj,76.3
Universitatea Cluj,FC Universitatea Cluj,76.6
Dinamo București,Dinamo Bucuresti,78.1
FCSB,Steaua Bucharest,74.6
Rapid București,Rapid,79.6
Oțelul Galați,Oţelul,73.1
Argeș,Arges Pitesti,72.7
UTA Arad,Uta Arad,74.2
FCV Farul Constanța,Farul Constanta,72.5
Botoșani,FC Botosani,72.4
Sepsi,Sepsi OSK Sfantu Gheorghe,71.3
Corvinul Hunedoara,,72.5
Voluntari,FC Voluntari,70.7
Petrolul 52,Petrolul Ploiesti,71.8
Csikszereda,Csikszereda Miercurea,69.1
