team,alias,opta_rating
Olympiakos Piraeus,Olympiacos,86.7
AEK Athens,AEK Athens FC,86.9
PAOK,,85.1
Panathinaikos,,84.4
Aris,Aris Thessalonikis,79.0
Levadiakos,,76.9
Atromitos,Atromitos Athens,75.8
OFI,OFI Crete,78.7
Kifisia,,75.3
Asteras Tripolis,,74.4
Kalamata,,73.3
Iraklis 1908,,74.0
Panaitolikos,Panetolikos,74.2
Volos NFC,Volos,72.2
