team,alias,opta_rating
FCI Levadia,FC Levadia Tallinn,73.4
Flora,Flora Tallinn,66.0
Nõmme Kalju,Kalju Nomme,66.4
Paide,Paide Linnameeskond,67.0
Vaprus,Pärnu Vaprus,59.3
Laagri,Harju Laagri,58.8
Tammeka,Tartu Tammeka,59.9
Nõmme United,Nomme United,56.8
Trans,Trans Narva,56.5
Kuressaare,FC Kuressaare,56.4
