team,alias,opta_rating
Bodø / Glimt,Bodo/Glimt,89.8
Viking,Viking FK,86.7
Tromsø,Tromso,81.8
Brann,SK Brann,81.8
Molde,Molde FK,81.4
Lillestrøm,Lillestrom,78.3
Rosenborg,Rosenborg BK,81.8
Sarpsborg 08,Sarpsborg 08 FF,78.7
HamKam,Ham-Kam,76.3
Sandefjord,Sandefjord Fotball,78.0
Vålerenga,Valerenga,77.2
Fredrikstad,Fredrikstad FK,78.4
KFUM,KFUM Oslo,77.2
Aalesund,Aalesund FK,76.2
Start,IK Start,75.6
Kristiansund,Kristiansund BK,75.3
