team,alias,opta_rating
Lincoln Red Imps,Lincoln Red Imps FC,71.9
St Joseph's,St Joseph S Fc,67.1
Europa,Europa FC,59.2
Mons Calpe,Mons Calpe SC,56.5
Magpies,FCB Magpies,55.9
Lions Gibraltar,,50.8
Lynx,,49.2
Manchester 62,,48.1
Glacis United,,47.1
Europa Point,,45.7
Hound Dogs,,42.1
College 1975,,43.4
