team,alias,opta_rating
Midtjylland,FC Midtjylland,85.6
AGF,Aarhus,81.1
København,FC Copenhagen,85.6
Nordsjælland,FC Nordsjaelland,83.8
Brøndby,Brondby,80.0
Viborg,Viborg FF,81.3
Sønderjyske,Sonderjyske,76.4
Lyngby,,77.0
OB,Odense,77.9
Randers,Randers FC,77.4
Horsens,AC Horsens,77.6
Silkeborg,Silkeborg IF,77.7
