team,alias,opta_rating
Dinamo Minsk,FC Dinamo Minsk,75.6
ML Vitebsk,Maxline Vitebsk,74.4
Isloch,FC Isloch Minsk R.,73.2
Torpedo Belaz,Torpedo Zhodino,69.7
Dinamo Brest,Dynamo Brest,69.8
Neman Grodno,Neman,70.3
Gomel,FC Gomel,69.8
Minsk,FC Minsk,68.6
Slavia,Slavia Mozyr,68.7
Vitebsk,FC Vitebsk,67.7
BATE,Bate Borisov,67.1
Arsenal,Arsenal Dzerzhinsk,66.3
Baranovichi,FK Baranovichi,65.4
Dnepr Mogilev,FC Dnepr Mogilev,63.6
Belshina,Belshina Bobruisk,63.6
Naftan,Naftan Novopolotsk,59.9
