team,alias,opta_rating
Sabah,Sabah FA,83.5
Qarabağ,Qarabag,82.2
Neftçi,Neftchi Baku,78.5
Zira,Zira FK,77.1
Turan,Turan Tovuz,75.7
Araz Naxçivan,Araz,71.6
Şamaxi,Şamaxı FK,71.8
İmişli,Imisli FK,70.1
Sumqayıt,Sumgayit FK,69.2
Safa,Safa Baku,69.0
Qəbələ,Qabala,68.5
Kapaz,Kəpəz,67.2
