team,alias,opta_rating
Borac Banja Luka,FK Borac Banja Luka,80.3
Zrinjski,Zrinjski Mostar,77.7
Sarajevo,FK Sarajevo,74.1
Velez,Velež,69.8
Zeljeznicar,Zeljeznicar Sarajevo,71.0
Siroki Brijeg,Široki Brijeg,68.7
Čelik,,67.9
Radnik Bijeljina,FK Radnik Bijeljina,66.4
BSK Banja Luka,,66.7
Sloga Doboj,FK Sloga Doboj,66.9
