team,alias,opta_rating
Shkendija,Shkëndija,75.3
Vardar Skopje,Vardar,74.2
Struga,FK Struga,72.1
Sileks,FK Sileks,68.8
Tikvesh,Tikveš,69.7
Bregalnica Štip,,65.5
Aresimi,Arsimi,65.0
Skopje,,63.1
Bashkimi Kumanovo,Bashkimi,62.7
Shkëndija Haraçinë,,65.1
