team,alias,opta_rating
Riga,Riga FC,78.2
Rīgas FS,RFS,76.0
Auda,Auda Kekava,70.7
Liepāja,FK Liepaja,68.2
BFC Daugavpils,Daugavpils,66.2
FS Jelgava,Jelgava,63.5
Super Nova,FK Super Nova,63.0
Tukums,Tukums 2000,60.6
Grobiņa,Grobiņas,61.7
Ogre United,FK Ogre,59.8
