date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14
2026-08-09,Levski Sofia,0.5276,0.2676,0.125,0.0528,0.0177,0.006,0.0021,0.001,0.0,0.0001,0.0001,0.0,0.0,0.0
2026-08-09,Ludogorets,0.2903,0.3305,0.1997,0.1064,0.0443,0.018,0.007,0.0017,0.0016,0.0004,0.0001,0.0,0.0,0.0
2026-08-09,CSKA 1948,0.0817,0.1621,0.2452,0.23,0.1324,0.0684,0.041,0.019,0.0114,0.0044,0.0028,0.0011,0.0003,0.0002
2026-08-09,Spartak Varna,0.0022,0.0101,0.0283,0.0654,0.1114,0.1507,0.1425,0.1277,0.1118,0.0931,0.0702,0.044,0.03,0.0126
2026-08-09,CSKA Sofia,0.0818,0.1705,0.2502,0.2173,0.1342,0.0694,0.0347,0.0199,0.0106,0.0072,0.0022,0.0013,0.0005,0.0002
2026-08-09,Arda Kardzhali,0.0124,0.0397,0.0876,0.155,0.206,0.1627,0.1175,0.0846,0.0521,0.0387,0.0231,0.0148,0.0048,0.001
2026-08-09,Botev Plovdiv,0.0024,0.0089,0.0265,0.0613,0.1049,0.1366,0.1388,0.1313,0.1086,0.0922,0.0784,0.0544,0.038,0.0177
2026-08-09,Lokomotiv Plovdiv,0.0013,0.0062,0.018,0.047,0.0909,0.1296,0.137,0.1282,0.1161,0.1105,0.081,0.0709,0.0406,0.0227
2026-08-09,Slavia Sofia,0.0,0.0005,0.0033,0.0104,0.0238,0.0446,0.0644,0.0856,0.1033,0.1293,0.1302,0.1432,0.1383,0.1231
2026-08-09,Lokomotiv Sofia,0.0,0.0011,0.0039,0.0154,0.039,0.06,0.0837,0.1043,0.117,0.1256,0.1255,0.129,0.1177,0.0778
2026-08-09,Botev Vratsa,0.0002,0.0017,0.0057,0.0174,0.0449,0.0656,0.0897,0.1073,0.1231,0.1166,0.13,0.1191,0.1029,0.0758
2026-08-09,Septemvri Sofia,0.0,0.0,0.0009,0.0039,0.0106,0.0175,0.035,0.0487,0.0678,0.0856,0.1217,0.1538,0.2066,0.2479
2026-08-09,Cherno More Varna,0.0001,0.001,0.0048,0.0165,0.0365,0.0585,0.0884,0.105,0.1261,0.1256,0.1276,0.1282,0.1096,0.0721
2026-08-09,Dunav Ruse,0.0,0.0001,0.0009,0.0012,0.0034,0.0124,0.0182,0.0357,0.0505,0.0707,0.1071,0.1402,0.2107,0.3489
