date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18
2026-08-09,Amed,0.002,0.0051,0.0096,0.0179,0.0249,0.0316,0.0369,0.0468,0.0522,0.0572,0.0604,0.0682,0.0748,0.0859,0.0913,0.0999,0.1075,0.1278
2026-08-09,Erzurumspor FK,0.0039,0.0102,0.0176,0.0218,0.0291,0.0394,0.0435,0.0559,0.0562,0.0654,0.0702,0.0705,0.0799,0.0775,0.0907,0.0882,0.0875,0.0925
2026-08-09,Başakşehir,0.0403,0.0701,0.0897,0.1031,0.1049,0.0986,0.0789,0.0726,0.0646,0.0548,0.0503,0.0376,0.0375,0.027,0.0233,0.0206,0.0161,0.01
2026-08-09,Kocaelispor,0.0028,0.0059,0.0134,0.0199,0.0267,0.0328,0.0449,0.0456,0.055,0.0597,0.0673,0.079,0.0774,0.0839,0.0904,0.0893,0.0988,0.1072
2026-08-09,Beşiktaş,0.1247,0.1551,0.1496,0.126,0.1035,0.0792,0.0626,0.0524,0.034,0.0302,0.0237,0.0156,0.0143,0.0116,0.0071,0.0054,0.0033,0.0017
2026-08-09,Eyüpspor,0.0035,0.0071,0.0124,0.0201,0.0304,0.0363,0.0399,0.0475,0.06,0.0611,0.0745,0.0739,0.077,0.078,0.0875,0.0909,0.097,0.1029
2026-08-09,Galatasaray,0.3208,0.2228,0.1474,0.092,0.0656,0.0456,0.0319,0.0233,0.0154,0.0102,0.0084,0.0064,0.0032,0.0029,0.002,0.001,0.0004,0.0007
2026-08-09,Çorum FK,0.0019,0.0085,0.0129,0.0184,0.0265,0.0355,0.0446,0.055,0.0565,0.0588,0.0665,0.0681,0.0758,0.0832,0.0847,0.095,0.1005,0.1076
2026-08-09,Gaziantep FK,0.0025,0.0048,0.0102,0.0203,0.0276,0.0349,0.0377,0.048,0.0559,0.0632,0.0646,0.0708,0.0786,0.0876,0.0875,0.0931,0.1018,0.1109
2026-08-09,Alanyaspor,0.0049,0.0132,0.0256,0.0327,0.0419,0.0489,0.0608,0.0635,0.0663,0.0748,0.0722,0.0756,0.0692,0.0758,0.0752,0.0693,0.0703,0.0598
2026-08-09,Gençlerbirliği S.K.,0.0043,0.0108,0.0168,0.0311,0.0328,0.0423,0.0506,0.0561,0.0643,0.0691,0.0713,0.0791,0.0746,0.0812,0.0763,0.082,0.0798,0.0775
2026-08-09,Fenerbahçe,0.3389,0.2238,0.1424,0.0904,0.0683,0.0421,0.0327,0.0186,0.0119,0.0091,0.008,0.0059,0.0029,0.0021,0.0012,0.001,0.0004,0.0003
2026-08-09,Kasımpaşa,0.0022,0.0089,0.0136,0.0238,0.0273,0.0381,0.0485,0.0572,0.0589,0.0649,0.0716,0.0743,0.0777,0.0785,0.0808,0.0897,0.0912,0.0928
2026-08-09,Trabzonspor,0.0655,0.0953,0.1148,0.1136,0.1071,0.0896,0.0817,0.0642,0.0579,0.0455,0.0404,0.0345,0.0291,0.0212,0.0152,0.0119,0.0081,0.0044
2026-08-09,Konyaspor,0.0107,0.023,0.0333,0.0457,0.0545,0.0668,0.0691,0.0726,0.0764,0.075,0.0708,0.072,0.0675,0.0629,0.063,0.0513,0.0472,0.0382
2026-08-09,Rizespor,0.0077,0.0192,0.0304,0.0442,0.0492,0.0563,0.0694,0.067,0.0751,0.0698,0.069,0.0709,0.0734,0.0688,0.0681,0.0619,0.0544,0.0452
2026-08-09,Samsunspor,0.0306,0.0587,0.0817,0.0887,0.0887,0.0918,0.0849,0.0753,0.071,0.0643,0.0569,0.0517,0.0405,0.0342,0.0281,0.0243,0.0179,0.0107
2026-08-09,Göztepe,0.0328,0.0575,0.0786,0.0903,0.091,0.0902,0.0814,0.0784,0.0684,0.0669,0.0539,0.0459,0.0466,0.0377,0.0276,0.0252,0.0178,0.0098
