date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16
2026-08-09,FC Krasnodar,0.4758,0.2524,0.1311,0.0604,0.0335,0.0219,0.0116,0.0065,0.0032,0.0019,0.0009,0.0004,0.0004,0.0,0.0,0.0
2026-08-09,Zenit,0.3209,0.2873,0.1646,0.0936,0.0554,0.0294,0.0198,0.0123,0.0072,0.0047,0.0031,0.0008,0.0006,0.0002,0.0001,0.0
2026-08-09,Spartak Moscow,0.0998,0.1775,0.2046,0.1557,0.111,0.0792,0.0574,0.0412,0.0243,0.0199,0.0121,0.009,0.0044,0.003,0.0006,0.0003
2026-08-09,Baltika,0.03,0.067,0.1112,0.1298,0.1273,0.1103,0.0999,0.0812,0.0697,0.0543,0.0408,0.0304,0.0234,0.0138,0.0081,0.0028
2026-08-09,Dinamo Makhachkala,0.0063,0.0233,0.0446,0.0646,0.0798,0.099,0.0972,0.0953,0.0959,0.0877,0.0843,0.0732,0.0545,0.0485,0.0299,0.0159
2026-08-09,CSKA Moscow,0.0308,0.0785,0.1153,0.1386,0.1321,0.1056,0.0995,0.08,0.0624,0.0474,0.0379,0.0292,0.0209,0.0117,0.0075,0.0026
2026-08-09,FC Rostov,0.0054,0.0177,0.0341,0.0538,0.0745,0.0827,0.0942,0.0993,0.099,0.0969,0.0891,0.0751,0.0677,0.0508,0.0388,0.0209
2026-08-09,Dynamo,0.0172,0.0498,0.0817,0.113,0.1134,0.1151,0.1015,0.0917,0.0847,0.0637,0.0529,0.0455,0.0342,0.0191,0.0103,0.0062
2026-08-09,Rubin,0.0049,0.0154,0.0345,0.0541,0.0664,0.0819,0.0903,0.0995,0.0943,0.0987,0.0886,0.0858,0.0707,0.0576,0.0379,0.0194
2026-08-09,FC Orenburg,0.0009,0.0032,0.0107,0.0167,0.0349,0.0451,0.0538,0.0675,0.0796,0.0886,0.0969,0.1084,0.1087,0.1102,0.1029,0.0719
2026-08-09,Rodina Moskva,0.0008,0.0027,0.0067,0.0162,0.0261,0.0386,0.0502,0.0566,0.0667,0.0878,0.1025,0.1069,0.1167,0.119,0.1163,0.0862
2026-08-09,Lokomotiv,0.0054,0.0158,0.0344,0.0546,0.0699,0.0881,0.0874,0.0971,0.093,0.0893,0.0877,0.0797,0.0721,0.0615,0.0425,0.0215
2026-08-09,Krylia Sovetov,0.001,0.0037,0.0089,0.0185,0.0262,0.0377,0.0485,0.0605,0.079,0.0873,0.1017,0.1107,0.1138,0.1161,0.1036,0.0828
2026-08-09,Akhmat,0.0008,0.0047,0.015,0.0247,0.0398,0.0479,0.0609,0.0697,0.0851,0.0886,0.094,0.1019,0.1054,0.1013,0.0952,0.065
2026-08-09,Akron,0.0,0.0003,0.0009,0.0023,0.0036,0.0073,0.011,0.0184,0.0233,0.038,0.0497,0.067,0.1017,0.1419,0.2073,0.3273
2026-08-09,Fakel,0.0,0.0007,0.0017,0.0034,0.0061,0.0102,0.0168,0.0232,0.0326,0.0452,0.0578,0.076,0.1048,0.1453,0.199,0.2772
2026-08-10,FC Krasnodar,0.4714,0.2655,0.1266,0.058,0.0342,0.0189,0.0117,0.0061,0.0037,0.0016,0.0017,0.0,0.0003,0.0003,0.0,0.0
2026-08-10,Zenit,0.3179,0.2835,0.1671,0.0994,0.0541,0.0322,0.0194,0.0123,0.0067,0.0028,0.0023,0.0013,0.0006,0.0003,0.0001,0.0
2026-08-10,Spartak Moscow,0.1018,0.1727,0.1997,0.1553,0.1127,0.0817,0.0542,0.0415,0.0273,0.0228,0.0135,0.0097,0.0044,0.0014,0.0008,0.0005
2026-08-10,Baltika,0.0267,0.0668,0.1051,0.1357,0.123,0.1144,0.0963,0.0828,0.0707,0.0567,0.0429,0.0311,0.0223,0.0144,0.007,0.0041
2026-08-10,Dinamo Makhachkala,0.0064,0.0205,0.0451,0.0682,0.0796,0.0931,0.1001,0.0998,0.0965,0.092,0.0774,0.0726,0.0599,0.0425,0.0303,0.016
2026-08-10,CSKA Moscow,0.0381,0.0732,0.1159,0.1342,0.1266,0.1161,0.0938,0.0738,0.0666,0.0528,0.0401,0.0276,0.02,0.013,0.0054,0.0028
2026-08-10,FC Rostov,0.0051,0.0156,0.039,0.0547,0.0721,0.0846,0.0911,0.1008,0.0963,0.0933,0.0859,0.0797,0.0679,0.0553,0.0394,0.0192
2026-08-10,Dynamo,0.0201,0.0532,0.0897,0.1079,0.1197,0.1125,0.1041,0.0913,0.075,0.0634,0.054,0.0391,0.0306,0.0204,0.0136,0.0054
2026-08-10,Rubin,0.004,0.0169,0.0329,0.0528,0.0709,0.0778,0.0908,0.0972,0.0955,0.0925,0.0943,0.0786,0.072,0.0615,0.0404,0.0219
2026-08-10,FC Orenburg,0.0007,0.0034,0.01,0.0181,0.0311,0.0429,0.053,0.0642,0.0803,0.092,0.1044,0.1031,0.1111,0.1111,0.0997,0.0749
2026-08-10,Rodina Moskva,0.0005,0.0029,0.009,0.0183,0.0256,0.0363,0.0472,0.0628,0.071,0.0846,0.0941,0.111,0.1168,0.1214,0.1128,0.0857
2026-08-10,Lokomotiv,0.0054,0.0154,0.0343,0.0508,0.071,0.0826,0.0939,0.0965,0.0924,0.0937,0.0861,0.082,0.0735,0.0593,0.0398,0.0233
2026-08-10,Krylia Sovetov,0.0006,0.003,0.0084,0.0179,0.0289,0.0397,0.0516,0.0609,0.0728,0.0835,0.0966,0.1073,0.1212,0.1173,0.1041,0.0862
2026-08-10,Akhmat,0.0013,0.0068,0.0144,0.024,0.0395,0.0503,0.0633,0.0691,0.0821,0.0913,0.1029,0.1053,0.0978,0.1008,0.0912,0.0599
2026-08-10,Akron,0.0,0.0002,0.0012,0.0024,0.0043,0.0059,0.0132,0.0178,0.0268,0.0349,0.0512,0.0731,0.0961,0.139,0.2145,0.3194
2026-08-10,Fakel,0.0,0.0004,0.0016,0.0023,0.0067,0.011,0.0163,0.0231,0.0363,0.0421,0.0526,0.0785,0.1055,0.142,0.2009,0.2807
2026-08-11,FC Krasnodar,0.4735,0.2669,0.1191,0.0636,0.0351,0.0171,0.0108,0.0066,0.0036,0.0018,0.0006,0.0006,0.0003,0.0003,0.0,0.0001
2026-08-11,Zenit,0.3253,0.2877,0.165,0.0909,0.0547,0.0307,0.0188,0.0116,0.0057,0.0045,0.003,0.0012,0.0007,0.0002,0.0,0.0
2026-08-11,Spartak Moscow,0.0998,0.1772,0.2073,0.1502,0.1129,0.0791,0.0597,0.0381,0.0269,0.0171,0.0141,0.0084,0.0047,0.0026,0.0012,0.0007
2026-08-11,Baltika,0.0269,0.0656,0.1098,0.1293,0.1299,0.1216,0.0944,0.0806,0.0639,0.0549,0.0412,0.0314,0.0232,0.0151,0.0087,0.0035
2026-08-11,Dinamo Makhachkala,0.0071,0.0196,0.045,0.0662,0.0789,0.0922,0.1022,0.1035,0.0965,0.0903,0.0767,0.0692,0.0612,0.0484,0.0288,0.0142
2026-08-11,CSKA Moscow,0.0308,0.0725,0.1146,0.1388,0.1302,0.1084,0.0975,0.0764,0.0628,0.0519,0.044,0.0293,0.0211,0.0123,0.007,0.0024
2026-08-11,FC Rostov,0.0045,0.0199,0.0363,0.0539,0.0715,0.0812,0.0942,0.093,0.0979,0.0906,0.0881,0.0819,0.0708,0.0554,0.0402,0.0206
2026-08-11,Dynamo,0.0198,0.0439,0.085,0.1173,0.1178,0.1179,0.1043,0.0917,0.0784,0.0638,0.0535,0.0378,0.0301,0.0219,0.0118,0.005
2026-08-11,Rubin,0.0041,0.0141,0.0379,0.0534,0.069,0.0833,0.0908,0.0989,0.0971,0.0946,0.086,0.0811,0.0683,0.0574,0.0418,0.0222
2026-08-11,FC Orenburg,0.0006,0.0028,0.0103,0.0193,0.0291,0.0434,0.0534,0.0674,0.0829,0.0865,0.0964,0.1092,0.1137,0.1084,0.0991,0.0775
2026-08-11,Rodina Moskva,0.0009,0.0036,0.0083,0.0158,0.0259,0.0336,0.0462,0.0614,0.0726,0.0835,0.101,0.1067,0.1112,0.1253,0.1169,0.0871
