date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18
2026-08-09,Auxerre,0.0045,0.0157,0.0261,0.0334,0.0401,0.0473,0.0509,0.0623,0.0627,0.0649,0.0693,0.0699,0.0756,0.0777,0.0764,0.0746,0.0747,0.0739
2026-08-09,Angers,0.0018,0.004,0.0074,0.0115,0.0153,0.0197,0.0254,0.0285,0.0328,0.0404,0.0512,0.0592,0.074,0.0837,0.0965,0.1187,0.1412,0.1887
2026-08-09,Monaco,0.0453,0.0928,0.0998,0.0941,0.0841,0.0805,0.0729,0.0714,0.0651,0.0559,0.0497,0.0432,0.0368,0.034,0.0275,0.0199,0.0164,0.0106
2026-08-09,Stade Brestois 29,0.006,0.0184,0.0234,0.031,0.0393,0.0457,0.0464,0.0539,0.0587,0.0635,0.0728,0.0755,0.0765,0.0817,0.0788,0.0805,0.0763,0.0716
2026-08-09,Lorient,0.0081,0.0263,0.0353,0.043,0.0535,0.0528,0.0593,0.0713,0.0652,0.0705,0.0676,0.07,0.0737,0.0677,0.0624,0.0673,0.0577,0.0483
2026-08-09,Le Havre,0.0028,0.0093,0.016,0.0207,0.0284,0.0335,0.0401,0.0476,0.0538,0.0593,0.0599,0.068,0.0757,0.0833,0.0926,0.0936,0.1099,0.1055
2026-08-09,Le Mans,0.0015,0.0038,0.0092,0.0139,0.0201,0.0242,0.0292,0.0335,0.0449,0.0488,0.0551,0.067,0.0739,0.0811,0.1009,0.1083,0.1264,0.1582
2026-08-09,Lille,0.0523,0.0995,0.1062,0.1004,0.0895,0.0819,0.0782,0.0633,0.0614,0.0575,0.0489,0.0397,0.0332,0.0286,0.0209,0.0181,0.0126,0.0078
2026-08-09,Nice,0.0049,0.0127,0.0194,0.0264,0.0343,0.0413,0.0471,0.0553,0.0536,0.0616,0.0685,0.0742,0.0764,0.0788,0.0877,0.0881,0.0908,0.0789
2026-08-09,Lyon,0.0494,0.0944,0.0929,0.0972,0.0906,0.0877,0.0747,0.0676,0.0643,0.0575,0.05,0.0417,0.0364,0.0286,0.0235,0.0211,0.0137,0.0087
2026-08-09,Marseille,0.041,0.0781,0.091,0.0918,0.0859,0.0865,0.0822,0.0687,0.0606,0.059,0.0583,0.0465,0.0393,0.0339,0.028,0.0226,0.0169,0.0097
2026-08-09,Paris FC,0.0076,0.0247,0.0343,0.0399,0.0506,0.0577,0.0615,0.0682,0.0664,0.0702,0.07,0.075,0.0657,0.0718,0.0692,0.0657,0.055,0.0465
2026-08-09,Paris Saint Germain,0.6019,0.1805,0.0794,0.0498,0.0294,0.0204,0.014,0.01,0.0056,0.003,0.0022,0.0016,0.0015,0.0003,0.0002,0.0002,0.0,0.0
2026-08-09,Lens,0.0997,0.1628,0.1355,0.1091,0.0943,0.0744,0.0642,0.0498,0.046,0.0374,0.0335,0.025,0.0198,0.0191,0.0126,0.0099,0.0038,0.0031
2026-08-09,Rennes,0.0335,0.0817,0.0943,0.0934,0.0858,0.0814,0.0769,0.0735,0.0696,0.0575,0.0526,0.0475,0.0399,0.0347,0.0275,0.023,0.0164,0.0108
2026-08-09,Strasbourg,0.0251,0.0535,0.0643,0.0696,0.0731,0.075,0.0759,0.0694,0.0748,0.0656,0.0637,0.0594,0.0546,0.0487,0.0438,0.0362,0.0289,0.0184
2026-08-09,Toulouse,0.0132,0.0349,0.054,0.0557,0.0624,0.0632,0.065,0.0694,0.067,0.0738,0.0679,0.07,0.0677,0.0618,0.0545,0.0485,0.042,0.029
2026-08-09,Estac Troyes,0.0014,0.0069,0.0115,0.0191,0.0233,0.0268,0.0361,0.0363,0.0475,0.0536,0.0588,0.0666,0.0793,0.0845,0.097,0.1037,0.1173,0.1303
