date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12
2026-08-09,Ujpest,0.0368,0.069,0.0915,0.0933,0.1033,0.1023,0.1,0.0991,0.095,0.081,0.0731,0.0556
2026-08-09,Puskas Academy,0.0802,0.1164,0.1279,0.1295,0.1104,0.101,0.0928,0.0736,0.0608,0.0482,0.0347,0.0245
2026-08-09,Vasas,0.0332,0.0584,0.0796,0.0938,0.0997,0.1057,0.0979,0.1017,0.0951,0.0881,0.0794,0.0674
2026-08-09,Gyori ETO FC,0.3607,0.2228,0.1373,0.0923,0.0633,0.0413,0.0302,0.0219,0.0136,0.0082,0.0055,0.0029
2026-08-09,MTK Budapest,0.0185,0.0419,0.0634,0.0793,0.0849,0.0929,0.0966,0.1087,0.1082,0.1086,0.1017,0.0953
2026-08-09,Kisvarda FC,0.0109,0.0246,0.0395,0.0513,0.0675,0.0835,0.0891,0.1023,0.1116,0.1244,0.138,0.1573
2026-08-09,Paks,0.0874,0.121,0.1311,0.1278,0.11,0.0991,0.0836,0.0703,0.0611,0.049,0.0381,0.0215
2026-08-09,Budapest Honved,0.0072,0.0175,0.0306,0.0466,0.0549,0.0663,0.0842,0.0945,0.1115,0.1319,0.1584,0.1964
2026-08-09,Debreceni VSC,0.0176,0.0372,0.0574,0.069,0.0853,0.0894,0.0983,0.1028,0.1027,0.116,0.1152,0.1091
2026-08-09,Nyiregyhaza,0.0122,0.0297,0.0507,0.0568,0.0729,0.0815,0.0973,0.1027,0.1156,0.119,0.1255,0.1361
2026-08-09,Zalaegerszegi TE,0.0155,0.0283,0.0484,0.0653,0.0747,0.0928,0.0972,0.1006,0.1084,0.1151,0.1228,0.1309
2026-08-09,Ferencvarosi TC,0.3198,0.2332,0.1426,0.095,0.0731,0.0442,0.0328,0.0218,0.0164,0.0105,0.0076,0.003
2026-08-10,Ujpest,0.0347,0.0656,0.0887,0.1009,0.1062,0.1043,0.1051,0.0958,0.0849,0.0828,0.0719,0.0591
2026-08-10,Puskas Academy,0.0852,0.1103,0.1348,0.128,0.1112,0.0985,0.0845,0.0776,0.0613,0.0508,0.0344,0.0234
2026-08-10,Vasas,0.0311,0.0628,0.0826,0.0955,0.1028,0.0988,0.0982,0.1007,0.1029,0.0862,0.0777,0.0607
2026-08-10,Gyori ETO FC,0.3558,0.2268,0.1427,0.096,0.0644,0.0377,0.0279,0.0192,0.0134,0.0082,0.0051,0.0028
2026-08-10,MTK Budapest,0.0181,0.0443,0.0585,0.0745,0.0871,0.0962,0.0991,0.106,0.1068,0.1107,0.104,0.0947
2026-08-10,Kisvarda FC,0.0099,0.0224,0.037,0.0546,0.0693,0.0805,0.0933,0.1052,0.1144,0.1248,0.1369,0.1517
2026-08-10,Paks,0.0907,0.1221,0.1366,0.1218,0.1082,0.1033,0.0851,0.07,0.0579,0.0456,0.0346,0.0241
2026-08-10,Budapest Honved,0.0066,0.0172,0.0274,0.0409,0.0548,0.0712,0.0801,0.0907,0.1183,0.1359,0.1571,0.1998
2026-08-10,Debreceni VSC,0.0165,0.0381,0.0592,0.0716,0.0809,0.0925,0.1034,0.1075,0.1051,0.1097,0.1098,0.1057
2026-08-10,Nyiregyhaza,0.0128,0.0286,0.045,0.0579,0.0713,0.0837,0.0935,0.1029,0.1109,0.1174,0.1362,0.1398
2026-08-10,Zalaegerszegi TE,0.0135,0.031,0.0438,0.0607,0.0782,0.0877,0.096,0.1012,0.1072,0.1179,0.1277,0.1351
2026-08-10,Ferencvarosi TC,0.3251,0.2308,0.1437,0.0976,0.0656,0.0456,0.0338,0.0232,0.0169,0.01,0.0046,0.0031
2026-08-11,Ujpest,0.0345,0.0655,0.0869,0.0991,0.1045,0.1032,0.0986,0.099,0.0963,0.0845,0.0729,0.055
2026-08-11,Puskas Academy,0.0805,0.1154,0.1316,0.1251,0.1124,0.1005,0.0882,0.0709,0.0595,0.0522,0.0388,0.0249
2026-08-11,Vasas,0.0317,0.0601,0.0833,0.0964,0.1034,0.1017,0.1027,0.092,0.0999,0.0869,0.0753,0.0666
2026-08-11,Gyori ETO FC,0.3591,0.2213,0.1369,0.098,0.061,0.0436,0.0311,0.0212,0.0113,0.0086,0.0057,0.0022
2026-08-11,MTK Budapest,0.0211,0.0414,0.0598,0.0793,0.09,0.0963,0.0991,0.1058,0.1105,0.1011,0.1027,0.0929
2026-08-11,Kisvarda FC,0.011,0.0262,0.0377,0.0527,0.0636,0.0774,0.0932,0.0982,0.1142,0.1272,0.1409,0.1577
2026-08-11,Paks,0.0892,0.1254,0.1294,0.1186,0.1086,0.0963,0.0862,0.0735,0.0626,0.0487,0.038,0.0235
2026-08-11,Budapest Honved,0.0074,0.0168,0.032,0.0438,0.0548,0.0678,0.0814,0.095,0.1137,0.1384,0.1483,0.2006
2026-08-11,Debreceni VSC,0.0215,0.036,0.0598,0.0715,0.081,0.0954,0.0957,0.1081,0.1022,0.1129,0.1101,0.1058
2026-08-11,Nyiregyhaza,0.0138,0.0291,0.045,0.0607,0.0727,0.0839,0.0959,0.1094,0.1085,0.1136,0.1302,0.1372
2026-08-11,Zalaegerszegi TE,0.0153,0.03,0.0494,0.0633,0.0774,0.0851,0.0948,0.104,0.1048,0.1163,0.1295,0.1301
2026-08-11,Ferencvarosi TC,0.3149,0.2328,0.1482,0.0915,0.0706,0.0488,0.0331,0.0229,0.0165,0.0096,0.0076,0.0035
2026-08-12,Ujpest,0.0388,0.0626,0.0877,0.1027,0.1084,0.0994,0.1015,0.1028,0.0864,0.0842,0.0692,0.0563
2026-08-12,Puskas Academy,0.0866,0.121,0.1273,0.1235,0.1112,0.1007,0.0817,0.0739,0.0625,0.0503,0.0381,0.0232
2026-08-12,Vasas,0.0312,0.0609,0.0885,0.0913,0.1013,0.0977,0.1039,0.1011,0.0914,0.0884,0.0758,0.0685
2026-08-12,Gyori ETO FC,0.3673,0.2169,0.1324,0.0905,0.0644,0.0447,0.0292,0.0235,0.0159,0.0083,0.0046,0.0023
2026-08-12,MTK Budapest,0.0195,0.0451,0.0598,0.0778,0.0853,0.0975,0.0981,0.1037,0.1097,0.1033,0.1063,0.0939
2026-08-12,Kisvarda FC,0.0105,0.0252,0.0349,0.0549,0.0631,0.0815,0.0915,0.0931,0.1197,0.1261,0.1435,0.156
2026-08-12,Paks,0.0804,0.125,0.1374,0.1304,0.1105,0.0986,0.0891,0.0712,0.0567,0.0447,0.0328,0.0232
2026-08-12,Budapest Honved,0.0065,0.0165,0.0291,0.0385,0.0558,0.0686,0.0849,0.0929,0.1104,0.1307,0.1605,0.2056
2026-08-12,Debreceni VSC,0.0168,0.0363,0.0553,0.0707,0.0838,0.0943,0.1039,0.1088,0.1055,0.1103,0.1101,0.1042
2026-08-12,Nyiregyhaza,0.0137,0.0286,0.048,0.0609,0.0737,0.0844,0.0888,0.1029,0.1115,0.1219,0.1249,0.1407
2026-08-12,Zalaegerszegi TE,0.0142,0.0315,0.0493,0.0597,0.0742,0.0844,0.0945,0.104,0.1145,0.1221,0.1287,0.1229
2026-08-12,Ferencvarosi TC,0.3145,0.2304,0.1503,0.0991,0.0683,0.0482,0.0329,0.0221,0.0158,0.0097,0.0055,0.0032
2026-08-13,Ujpest,0.0364,0.0651,0.0817,0.0947,0.1069,0.1037,0.1062,0.095,0.0922,0.0879,0.0722,0.058
2026-08-13,Puskas Academy,0.0778,0.1154,0.1308,0.1328,0.1132,0.1008,0.088,0.0697,0.0603,0.0511,0.0374,0.0227
2026-08-13,Vasas,0.0303,0.059,0.079,0.1002,0.1059,0.1037,0.1025,0.1005,0.0942,0.0868,0.0762,0.0617
2026-08-13,Gyori ETO FC,0.3572,0.2204,0.1448,0.0926,0.0602,0.041,0.0296,0.0194,0.0167,0.0097,0.0053,0.0031
2026-08-13,MTK Budapest,0.0219,0.0414,0.0596,0.0712,0.0892,0.0986,0.1061,0.106,0.1036,0.1079,0.1023,0.0922
2026-08-13,Kisvarda FC,0.0111,0.0229,0.0401,0.0511,0.0648,0.075,0.089,0.1043,0.1168,0.1264,0.1382,0.1603
2026-08-13,Paks,0.0873,0.1221,0.1354,0.1271,0.1146,0.0948,0.0815,0.0732,0.0549,0.0466,0.0395,0.023
2026-08-13,Budapest Honved,0.0091,0.018,0.0309,0.0431,0.0535,0.0664,0.0776,0.0952,0.113,0.1311,0.1597,0.2024
2026-08-13,Debreceni VSC,0.0199,0.0431,0.0572,0.0701,0.082,0.0964,0.0994,0.1052,0.1062,0.1042,0.1142,0.1021
2026-08-13,Nyiregyhaza,0.0131,0.0294,0.0466,0.0587,0.0731,0.0839,0.0926,0.1071,0.1131,0.1172,0.1269,0.1383
2026-08-13,Zalaegerszegi TE,0.0129,0.0309,0.0505,0.0631,0.0713,0.0867,0.0955,0.1015,0.1128,0.1203,0.1219,0.1326
2026-08-13,Ferencvarosi TC,0.323,0.2323,0.1434,0.0953,0.0653,0.049,0.032,0.0229,0.0162,0.0108,0.0062,0.0036
2026-08-14,Ujpest,0.037,0.0655,0.0867,0.0994,0.1063,0.1045,0.0983,0.0946,0.0947,0.0844,0.0734,0.0552
2026-08-14,Puskas Academy,0.0822,0.1105,0.1338,0.1205,0.1104,0.0941,0.0891,0.0773,0.0642,0.0516,0.0409,0.0254
2026-08-14,Vasas,0.0324,0.0645,0.0844,0.0943,0.101,0.1026,0.0999,0.1015,0.0976,0.0853,0.0728,0.0637
2026-08-14,Gyori ETO FC,0.3555,0.2284,0.1391,0.0912,0.0579,0.0421,0.0305,0.0224,0.0148,0.0095,0.0062,0.0024
2026-08-14,MTK Budapest,0.0203,0.0414,0.0589,0.0773,0.088,0.0972,0.0962,0.1038,0.1044,0.1053,0.1063,0.1009
2026-08-14,Kisvarda FC,0.0094,0.0259,0.0395,0.0515,0.0723,0.0787,0.0939,0.1044,0.1102,0.1229,0.138,0.1533
2026-08-14,Paks,0.0887,0.116,0.1369,0.1329,0.1103,0.1021,0.0821,0.0706,0.0549,0.0451,0.0367,0.0237
2026-08-14,Budapest Honved,0.0057,0.015,0.0307,0.038,0.0588,0.0657,0.0845,0.0938,0.1131,0.1372,0.1564,0.2011
2026-08-14,Debreceni VSC,0.0205,0.04,0.0564,0.0725,0.0849,0.0947,0.0989,0.1039,0.1043,0.1091,0.1114,0.1034
2026-08-14,Nyiregyhaza,0.0132,0.0313,0.0438,0.0612,0.0732,0.0847,0.0932,0.1001,0.117,0.1209,0.125,0.1364
2026-08-14,Zalaegerszegi TE,0.0161,0.0291,0.0462,0.0623,0.0693,0.0869,0.1014,0.105,0.1076,0.1197,0.1254,0.131
2026-08-14,Ferencvarosi TC,0.319,0.2324,0.1436,0.0989,0.0676,0.0467,0.032,0.0226,0.0172,0.009,0.0075,0.0035
2026-08-15,Vasas,0.0499,0.0824,0.1048,0.1112,0.1183,0.1072,0.097,0.0897,0.0829,0.0699,0.0534,0.0333
2026-08-15,Ujpest,0.0355,0.0653,0.0809,0.101,0.1044,0.1009,0.1075,0.1029,0.0923,0.0841,0.0712,0.054
2026-08-15,Puskas Academy,0.0779,0.1159,0.1251,0.1219,0.1141,0.1034,0.0951,0.0732,0.0635,0.049,0.0384,0.0225
2026-08-15,Gyori ETO FC,0.349,0.2207,0.1418,0.0978,0.0663,0.0411,0.0313,0.0227,0.0126,0.0091,0.0055,0.0021
2026-08-15,MTK Budapest,0.018,0.0408,0.0637,0.0758,0.0858,0.0969,0.1047,0.1058,0.1085,0.1083,0.1041,0.0876
2026-08-15,Kisvarda FC,0.01,0.0242,0.0417,0.0522,0.0643,0.0755,0.0876,0.1051,0.1209,0.1286,0.1403,0.1496
2026-08-15,Paks,0.0872,0.1209,0.1281,0.1301,0.1137,0.1018,0.0841,0.0694,0.0594,0.0466,0.0353,0.0234
2026-08-15,Budapest Honved,0.0042,0.0099,0.0208,0.029,0.0382,0.0531,0.0675,0.0905,0.11,0.1376,0.1787,0.2605
2026-08-15,Debreceni VSC,0.0168,0.0424,0.0575,0.0699,0.0795,0.0946,0.0974,0.1036,0.1091,0.1124,0.1109,0.1059
2026-08-15,Nyiregyhaza,0.0142,0.0275,0.0458,0.0544,0.0773,0.0828,0.0968,0.1067,0.1088,0.1245,0.1297,0.1315
2026-08-15,Zalaegerszegi TE,0.0124,0.0304,0.0429,0.0609,0.074,0.0893,0.0956,0.1054,0.1162,0.1202,0.1262,0.1265
2026-08-15,Ferencvarosi TC,0.3249,0.2196,0.1469,0.0958,0.0641,0.0534,0.0354,0.025,0.0158,0.0097,0.0063,0.0031
2026-08-16,Vasas,0.047,0.0863,0.1022,0.1143,0.1143,0.1095,0.0981,0.0938,0.081,0.0651,0.0508,0.0376
2026-08-16,Ujpest,0.0279,0.0588,0.085,0.0933,0.1002,0.1009,0.1065,0.1038,0.1023,0.0908,0.0758,0.0547
2026-08-16,Puskas Academy,0.0803,0.1182,0.1242,0.123,0.1155,0.1057,0.0904,0.0714,0.0612,0.0516,0.0381,0.0204
2026-08-16,Nyiregyhaza,0.023,0.0436,0.0666,0.078,0.0917,0.1035,0.1072,0.1079,0.1024,0.1071,0.0925,0.0765
2026-08-16,MTK Budapest,0.0184,0.0394,0.0553,0.0682,0.0857,0.0964,0.099,0.1057,0.114,0.1127,0.1115,0.0937
2026-08-16,Gyori ETO FC,0.3665,0.2172,0.1359,0.0945,0.065,0.0434,0.0296,0.0212,0.0126,0.0081,0.0036,0.0024
2026-08-16,Paks,0.0772,0.1181,0.1373,0.1267,0.1214,0.0975,0.0845,0.0729,0.0576,0.046,0.0392,0.0216
2026-08-16,Kisvarda FC,0.0062,0.0152,0.0271,0.0384,0.0507,0.0642,0.0748,0.1009,0.1175,0.1374,0.1628,0.2048
2026-08-16,Budapest Honved,0.0038,0.0079,0.0188,0.0303,0.0421,0.0556,0.0713,0.0825,0.1113,0.1321,0.1797,0.2646
2026-08-16,Debreceni VSC,0.0181,0.0329,0.0546,0.0723,0.0769,0.0931,0.1036,0.1081,0.1114,0.1129,0.1147,0.1014
2026-08-16,Zalaegerszegi TE,0.0139,0.033,0.0458,0.0635,0.0708,0.0839,0.1002,0.1072,0.1124,0.1258,0.1242,0.1193
2026-08-16,Ferencvarosi TC,0.3177,0.2294,0.1472,0.0975,0.0657,0.0463,0.0348,0.0246,0.0163,0.0104,0.0071,0.003
