date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18
2026-08-09,FC Porto,0.3181,0.2608,0.1852,0.1136,0.0548,0.0276,0.0152,0.0105,0.0055,0.0031,0.0018,0.0021,0.0009,0.0004,0.0001,0.0002,0.0001,0.0
2026-08-09,Maritimo,0.002,0.0048,0.0164,0.0324,0.053,0.0646,0.0716,0.0787,0.0811,0.0793,0.0812,0.0771,0.0747,0.0716,0.0641,0.0594,0.0513,0.0367
2026-08-09,Arouca,0.0076,0.024,0.0463,0.0798,0.1074,0.1024,0.1054,0.0944,0.0852,0.0655,0.0615,0.0519,0.0453,0.0386,0.032,0.0225,0.0189,0.0113
2026-08-09,Sporting CP,0.2873,0.2506,0.1973,0.1153,0.0659,0.0353,0.0189,0.0119,0.0069,0.0042,0.0023,0.0013,0.0015,0.0007,0.0002,0.0003,0.0001,0.0
2026-08-09,Estrela,0.0002,0.0014,0.0035,0.0084,0.0174,0.0254,0.0322,0.0408,0.0456,0.0575,0.0641,0.0695,0.0771,0.0884,0.0991,0.1041,0.1283,0.137
2026-08-09,Famalicao,0.0178,0.04,0.0789,0.1159,0.1305,0.1168,0.1028,0.0817,0.0742,0.0596,0.0477,0.0345,0.0305,0.0226,0.0181,0.0137,0.0092,0.0055
2026-08-09,Estoril,0.0015,0.0052,0.0136,0.0271,0.045,0.0598,0.0663,0.0746,0.0759,0.0817,0.0783,0.0758,0.0754,0.0721,0.0702,0.0684,0.0606,0.0485
2026-08-09,GIL Vicente,0.004,0.0141,0.0263,0.0531,0.0739,0.087,0.0902,0.0879,0.0761,0.0806,0.0761,0.07,0.0606,0.0536,0.0503,0.0428,0.0324,0.021
2026-08-09,Rio Ave,0.0005,0.0027,0.0083,0.016,0.0278,0.0387,0.0441,0.0582,0.0611,0.0746,0.0728,0.0805,0.0777,0.0773,0.0864,0.0958,0.0885,0.089
2026-08-09,Santa Clara,0.002,0.0105,0.0183,0.0446,0.0592,0.0763,0.079,0.0803,0.0805,0.0779,0.0758,0.0772,0.0718,0.0623,0.0566,0.0503,0.0449,0.0325
2026-08-09,Moreirense,0.0011,0.0044,0.008,0.0201,0.0313,0.047,0.0534,0.0651,0.0665,0.0739,0.0743,0.0756,0.0805,0.0856,0.0798,0.0768,0.08,0.0766
2026-08-09,Benfica,0.287,0.2523,0.2003,0.1138,0.064,0.0347,0.0197,0.0111,0.0074,0.0036,0.0025,0.0016,0.0007,0.0008,0.0004,0.0,0.0001,0.0
2026-08-09,SC Braga,0.0674,0.1155,0.1618,0.187,0.1353,0.0936,0.0719,0.0471,0.0349,0.0255,0.0194,0.0145,0.0101,0.0065,0.0057,0.002,0.0011,0.0007
2026-08-09,Nacional,0.0008,0.004,0.0067,0.0171,0.0322,0.0453,0.0508,0.0577,0.0642,0.0668,0.0722,0.0789,0.08,0.0858,0.0874,0.0854,0.0867,0.078
2026-08-09,Academico Viseu,0.0005,0.0027,0.0101,0.0169,0.0308,0.0443,0.0547,0.0556,0.0659,0.0646,0.0676,0.0754,0.079,0.0858,0.0867,0.0848,0.0863,0.0883
2026-08-09,Guimaraes,0.0012,0.0045,0.0096,0.0217,0.035,0.0496,0.0563,0.0673,0.0722,0.0747,0.0795,0.082,0.0775,0.0804,0.0796,0.0745,0.07,0.0644
2026-08-09,Casa Pia,0.0001,0.0004,0.002,0.0039,0.0082,0.0122,0.021,0.0233,0.0331,0.0402,0.0483,0.0542,0.0709,0.0838,0.1,0.1281,0.1492,0.2211
2026-08-09,Alverca,0.0009,0.0021,0.0074,0.0133,0.0283,0.0394,0.0465,0.0538,0.0637,0.0667,0.0746,0.0779,0.0858,0.0837,0.0833,0.0909,0.0923,0.0894
