date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8
2026-08-15,Milsami Orhei,0.0,0.0,0.0269,0.0977,0.1956,0.4374,0.1949,0.0475
2026-08-15,CSF Bălți,0.0,0.0,0.0011,0.0347,0.1609,0.1736,0.3314,0.2983
2026-08-15,Sireți,0.0,0.0,0.0,0.0084,0.0182,0.0654,0.261,0.647
2026-08-16,Sheriff Tiraspol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-16,Petrocub,0.0,0.7483,0.199,0.0527,0.0,0.0,0.0,0.0
2026-08-16,Dacia-Buiucani,0.0,0.04,0.2251,0.5831,0.1467,0.0051,0.0,0.0
2026-08-16,Zimbru,0.0,0.2117,0.5496,0.1869,0.0427,0.0091,0.0,0.0
2026-08-16,Politehnica UTM,0.0,0.0,0.0178,0.1413,0.782,0.0589,0.0,0.0
2026-08-16,Milsami Orhei,0.0,0.0,0.0085,0.036,0.0286,0.7682,0.1424,0.0163
2026-08-16,CSF Bălți,0.0,0.0,0.0,0.0,0.0,0.0393,0.3969,0.5638
2026-08-16,Sireți,0.0,0.0,0.0,0.0,0.0,0.1194,0.4607,0.4199
2026-08-17,Sheriff Tiraspol,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-17,Petrocub,0.0,0.6313,0.2953,0.0734,0.0,0.0,0.0,0.0
2026-08-17,Zimbru,0.0,0.3517,0.5794,0.0689,0.0,0.0,0.0,0.0
2026-08-17,Dacia-Buiucani,0.0,0.017,0.1253,0.7051,0.1526,0.0,0.0,0.0
2026-08-17,Politehnica UTM,0.0,0.0,0.0,0.1526,0.8474,0.0,0.0,0.0
2026-08-17,Milsami Orhei,0.0,0.0,0.0,0.0,0.0,0.6878,0.2815,0.0307
2026-08-17,CSF Bălți,0.0,0.0,0.0,0.0,0.0,0.059,0.175,0.766
2026-08-17,Sireți,0.0,0.0,0.0,0.0,0.0,0.2532,0.5435,0.2033
