date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14
2026-08-09,FK Crvena Zvezda,0.842,0.1065,0.0319,0.0112,0.005,0.0017,0.0009,0.0004,0.0003,0.0001,0.0,0.0,0.0,0.0
2026-08-09,IMT Novi Beograd,0.0485,0.2387,0.1973,0.1478,0.1105,0.0832,0.0593,0.0391,0.031,0.0193,0.013,0.0082,0.0029,0.0012
2026-08-09,Vojvodina,0.045,0.2307,0.192,0.1516,0.1109,0.0807,0.064,0.0432,0.0319,0.02,0.015,0.0083,0.0046,0.0021
2026-08-09,Cukaricki,0.0094,0.0603,0.0931,0.1169,0.1111,0.1067,0.11,0.0969,0.0884,0.0715,0.0536,0.0393,0.027,0.0158
2026-08-09,FK Partizan,0.0274,0.1515,0.1661,0.1506,0.1235,0.1064,0.081,0.0604,0.0498,0.0339,0.0226,0.0167,0.0074,0.0027
2026-08-09,Železničar Pančevo,0.0168,0.0973,0.1159,0.1187,0.129,0.1116,0.0959,0.0864,0.071,0.0554,0.0429,0.0295,0.0209,0.0087
2026-08-09,OFK Beograd,0.0054,0.042,0.0688,0.0884,0.102,0.1097,0.1128,0.1055,0.0931,0.0792,0.0716,0.0516,0.0443,0.0256
2026-08-09,Novi Pazar,0.0005,0.013,0.0222,0.044,0.0574,0.0721,0.09,0.1011,0.1061,0.1133,0.1104,0.1134,0.0872,0.0693
2026-08-09,Mladost Lucani,0.0002,0.0059,0.0129,0.023,0.035,0.0498,0.0618,0.078,0.094,0.1142,0.1231,0.1384,0.1401,0.1236
2026-08-09,Radnicki 1923,0.0009,0.0145,0.0264,0.0399,0.0546,0.0658,0.0852,0.0998,0.1005,0.1084,0.119,0.1117,0.1046,0.0687
2026-08-09,Radnicki NIS,0.0011,0.0105,0.0217,0.0313,0.0523,0.0703,0.0772,0.0953,0.105,0.1175,0.1205,0.1154,0.1024,0.0795
2026-08-09,Radnik Surdulica,0.0026,0.0265,0.0428,0.0616,0.0774,0.0942,0.0974,0.097,0.1018,0.1043,0.0952,0.0798,0.071,0.0484
2026-08-09,Zemun,0.0,0.0009,0.0034,0.0053,0.0109,0.0163,0.0276,0.038,0.055,0.0715,0.1016,0.1429,0.2033,0.3233
2026-08-09,Macva,0.0002,0.0017,0.0055,0.0097,0.0204,0.0315,0.0369,0.0589,0.0721,0.0914,0.1115,0.1448,0.1843,0.2311
2026-08-09,FK Crvena Zvezda,0.8397,0.1068,0.0336,0.0129,0.0034,0.0017,0.0011,0.0006,0.0001,0.0001,0.0,0.0,0.0,0.0
2026-08-09,IMT Novi Beograd,0.0548,0.236,0.1924,0.1506,0.1127,0.0802,0.0578,0.0402,0.0286,0.0189,0.0161,0.0073,0.0038,0.0006
2026-08-09,Vojvodina,0.0439,0.232,0.1875,0.1433,0.1147,0.0863,0.0643,0.0441,0.0317,0.0222,0.0162,0.0088,0.0035,0.0015
2026-08-09,Cukaricki,0.0092,0.0641,0.0912,0.1079,0.1154,0.1183,0.1031,0.0963,0.0883,0.0702,0.0554,0.0419,0.0244,0.0143
2026-08-09,FK Partizan,0.024,0.1501,0.1701,0.1495,0.119,0.1006,0.087,0.0674,0.0458,0.0353,0.0236,0.0161,0.009,0.0025
2026-08-09,Železničar Pančevo,0.0176,0.0928,0.1153,0.127,0.1215,0.1123,0.1022,0.0825,0.0707,0.0586,0.0419,0.0293,0.0185,0.0098
2026-08-09,OFK Beograd,0.0052,0.0447,0.0683,0.0875,0.1014,0.1105,0.1139,0.1051,0.0961,0.0785,0.0702,0.0563,0.0409,0.0214
2026-08-09,Novi Pazar,0.0008,0.014,0.0281,0.0417,0.0596,0.0688,0.0838,0.1001,0.1074,0.1085,0.1139,0.1105,0.0946,0.0682
2026-08-09,Mladost Lucani,0.0005,0.007,0.0135,0.0259,0.0378,0.0515,0.0619,0.0793,0.1031,0.1108,0.1248,0.1304,0.1351,0.1184
2026-08-09,Radnicki 1923,0.0013,0.0132,0.0265,0.0403,0.0568,0.0709,0.0813,0.0964,0.1037,0.1126,0.1144,0.1099,0.0998,0.0729
2026-08-09,Radnicki NIS,0.0004,0.0099,0.0215,0.0351,0.0531,0.0662,0.0768,0.0929,0.108,0.1105,0.1205,0.1182,0.1086,0.0783
2026-08-09,Radnik Surdulica,0.0022,0.0262,0.044,0.0609,0.0739,0.0879,0.1022,0.1033,0.0942,0.105,0.0951,0.0857,0.0706,0.0488
2026-08-09,Zemun,0.0,0.0005,0.0026,0.0058,0.0113,0.0171,0.0271,0.0383,0.0555,0.0745,0.0954,0.1392,0.2043,0.3284
2026-08-09,Macva,0.0004,0.0027,0.0054,0.0116,0.0194,0.0277,0.0375,0.0535,0.0668,0.0943,0.1125,0.1464,0.1869,0.2349
