date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16,pos_17,pos_18
2026-08-09,Bayern München,0.6658,0.167,0.0735,0.0388,0.0214,0.0142,0.0068,0.005,0.0027,0.0022,0.0013,0.0007,0.0003,0.0,0.0002,0.0001,0.0,0.0
2026-08-09,Borussia Dortmund,0.1074,0.2051,0.1537,0.1199,0.0943,0.0759,0.0593,0.0446,0.0355,0.0281,0.025,0.0146,0.0134,0.0089,0.0068,0.0036,0.002,0.0019
2026-08-09,RB Leipzig,0.0397,0.1082,0.1162,0.105,0.1038,0.0929,0.0796,0.0679,0.0563,0.0496,0.0434,0.0337,0.0298,0.0258,0.0185,0.0119,0.0115,0.0062
2026-08-09,VfB Stuttgart,0.0405,0.1128,0.1173,0.1118,0.1003,0.0869,0.0796,0.0632,0.0582,0.048,0.0442,0.037,0.0302,0.0226,0.018,0.0142,0.0099,0.0053
2026-08-09,1899 Hoffenheim,0.0206,0.0583,0.0748,0.0868,0.0867,0.082,0.0797,0.0757,0.0696,0.0596,0.0594,0.0536,0.0489,0.038,0.0365,0.0264,0.0268,0.0166
2026-08-09,Bayer Leverkusen,0.0691,0.1497,0.1481,0.1178,0.1021,0.0822,0.0691,0.0597,0.0462,0.0412,0.0295,0.0231,0.0177,0.0156,0.0109,0.0092,0.0061,0.0027
2026-08-09,SC Freiburg,0.0175,0.0486,0.0698,0.0756,0.0787,0.0843,0.0763,0.0767,0.0745,0.0659,0.0604,0.0525,0.0497,0.0469,0.038,0.0366,0.0256,0.0224
2026-08-09,Eintracht Frankfurt,0.0053,0.0222,0.0334,0.0444,0.053,0.0569,0.0639,0.0694,0.0754,0.0722,0.073,0.0699,0.0721,0.0642,0.0665,0.0576,0.0542,0.0464
2026-08-09,FC Augsburg,0.004,0.0148,0.0265,0.0348,0.0438,0.0488,0.0573,0.0614,0.062,0.0731,0.0746,0.0705,0.0815,0.075,0.0692,0.074,0.0657,0.063
2026-08-09,FSV Mainz 05,0.0119,0.0387,0.0528,0.0686,0.0677,0.0752,0.0817,0.0745,0.0765,0.0706,0.0633,0.0659,0.0595,0.0513,0.0454,0.0385,0.0326,0.0253
2026-08-09,Union Berlin,0.0037,0.015,0.0254,0.0327,0.0437,0.0467,0.0517,0.0581,0.0624,0.0682,0.0658,0.0806,0.0767,0.0765,0.0756,0.0755,0.0751,0.0666
2026-08-09,Borussia Mönchengladbach,0.0054,0.0142,0.0259,0.0353,0.0421,0.0508,0.0568,0.0608,0.0656,0.0669,0.07,0.0747,0.0714,0.0747,0.0772,0.0735,0.0702,0.0645
2026-08-09,Hamburger SV,0.0023,0.0087,0.0151,0.0252,0.0277,0.0371,0.045,0.0504,0.0537,0.0616,0.0692,0.0738,0.0739,0.0828,0.0869,0.0924,0.0965,0.0977
2026-08-09,1. FC Köln,0.0013,0.0065,0.0136,0.0205,0.0274,0.033,0.0369,0.0459,0.0528,0.0584,0.0666,0.0661,0.0795,0.0826,0.0887,0.1003,0.1025,0.1174
2026-08-09,Werder Bremen,0.002,0.0096,0.0145,0.0219,0.0277,0.0355,0.0429,0.0498,0.0542,0.0618,0.0644,0.07,0.0765,0.0832,0.0869,0.0942,0.0987,0.1062
2026-08-09,FC Schalke 04,0.0012,0.0071,0.0126,0.0202,0.0246,0.0307,0.0358,0.0424,0.0533,0.0568,0.0622,0.0684,0.0747,0.0849,0.0907,0.097,0.1092,0.1282
2026-08-09,SV Elversberg,0.0012,0.0061,0.0135,0.02,0.0288,0.0333,0.0394,0.0474,0.0487,0.0606,0.0648,0.0696,0.0731,0.0842,0.0888,0.1005,0.1017,0.1183
2026-08-09,SC Paderborn 07,0.0011,0.0074,0.0133,0.0207,0.0262,0.0336,0.0382,0.0471,0.0524,0.0552,0.0629,0.0753,0.0711,0.0828,0.0952,0.0945,0.1117,0.1113
